CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.10406887531280518" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.046230591833591461" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.047542847692966461" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.044308897107839584" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.05780627578496933" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.091195821762084961" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.10089226067066193" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.092070579528808594" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.14384829998016357" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.041627548635005951" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.018492236733436584" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.019017139449715614" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.017723558470606804" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.023122509941458702" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.036478329449892044" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.040356904268264771" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.036828231066465378" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))-0.057539317756891251" 
0, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.10406887531280518" 
0, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.046230591833591461" 
0, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.047542847692966461" 
0, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.044308897107839584" 
0, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.05780627578496933" 
0, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.091195821762084961" 
0, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.10089226067066193" 
