CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.01138+(-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18)))))))))+0.014002080075442791" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.01138+(-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18)))))))))+0.015826376155018806" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.01138+(-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18)))))))))+0.018117401748895645" 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.01138+(-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18)))))))))+0.024991974234580994" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.01138+(-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18)))))))))+0.033683959394693375" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.01138+(-(4.35926e-06*(log(x+19)*(log(x+18)*(3-(-(132.538*log(x+18)))))))))+0.10163918137550354" 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.02655+(0.000138235*(log(x+19)*(log(x+18)*(3-(6.35409*log(x+18))))))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.02655+(0.000138235*(log(x+19)*(log(x+18)*(3-(6.35409*log(x+18))))))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.02655+((0.000138235*(log(x+19)*(log(x+18)*(3-(6.35409*log(x+18))))))-0.10966327041387558)" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.02655+((0.000138235*(log(x+19)*(log(x+18)*(3-(6.35409*log(x+18))))))-0.049863066524267197)" 
